Title,Ingredients,,Removed amounts and measurements
Classic Burrata Pizza,"['1 ball Best Pizza Dough (or Thin Crust Dough)', '1/4 to 1/3 cup Easy Pizza Sauce', '3/4 cup shredded mozzarella cheese', 'Parmesan cheese', '1 4-ounce ball burrata cheese', 'Fresh basil leaves']",,"[' ball Best Pizza Dough (or Thin Crust Dough)', ' to Easy Pizza Sauce', 'shredded mozzarella cheese', 'Parmesan cheese', '  ball burrata cheese', 'Fresh basil leaves']"
Incredible Jalapeno Pizza,"['1 ball Best Pizza Dough (or Thin Crust Dough)', 'Olive oil', '1/2 cup sliced zucchini (about 1/3 small zucchini)', '1/4 teaspoon kosher salt', '1/4 teaspoon dried oregano', '1 jalapeÃ±o pepper', '1/2 corn cob or 1/3 cup corn kernels', '1 handful sliced red onion', '1/2 cup salsa verde', '1/2 cup shredded mozzarella cheese', '1/4 cup feta cheese or queso fresco crumbles', '1 handful fresh cilantro']",,"[' ball Best Pizza Dough (or Thin Crust Dough)', 'Olive oil', 'sliced zucchini (about  small zucchini)', 'kosher salt', 'dried oregano', ' jalapeÃ±o pepper', ' corn cob or corn kernels', ' handful sliced red onion', 'salsa verde', 'shredded mozzarella cheese', 'feta cheese or queso fresco crumbles', ' handful fresh cilantro']"
Ultimate Spinach Pizza,"['1 ball Best Pizza Dough (or Thin Crust Dough)', '8 ounces frozen spinach', '1/8 teaspoon garlic powder', '1/4 teaspoon dried oregano', '1/2 cup whole milk ricotta cheese', 'Kosher salt', 'Fresh ground black pepper', '1 handful sliced red onion', '1/2 jarred roasted red pepper (or fresh red bell pepper), diced', '1/2 small garlic clove (1/4 teaspoon minced)', '1/2 cup shredded mozzarella cheese', '1/4 cup shredded Parmesan cheese']",,"[' ball Best Pizza Dough (or Thin Crust Dough)', 'frozen spinach', 'garlic powder', 'dried oregano', 'whole milk ricotta cheese', 'Kosher salt', 'Fresh ground black pepper', ' handful sliced red onion', ' jarred roasted red pepper (or fresh red bell pepper), diced', ' small garlic clove (minced)', 'shredded mozzarella cheese', 'shredded Parmesan cheese']"
Perfect Pan Pizza,"['188 grams (1 1/2 cups) Tipo 00 or all-purpose flour', '1 teaspoon instant or active dry yeast', '1/2 teaspoon kosher salt', '1/2 teaspoon oregano', '1/2 teaspoon garlic powder', '118 grams (1/2 cup) warm water', '1/2 tablespoon olive oil', '4 baby bella mushrooms or one portabella mushroom', '1 tablespoon olive oil', '1/2 teaspoon fennel seeds', '1/2 bell pepper (or 1/4 green and 1/4 red)', '1 handful thinly sliced red onion', '1/2 cup Easy Pizza Sauce', '1/2 cup mozzarella cheese', '1/4 cup shredded Parmesan cheese', 'Dried oregano']",,"['( s) Tipo  or all-purpose flour', 'instant or active dry yeast', 'kosher salt', 'oregano', 'garlic powder', '() warm water', 'olive oil', ' baby bella mushrooms or one portabella mushroom', 'olive oil', 'fennel seeds', ' bell pepper (or  green and  red)', ' handful thinly sliced red onion', 'Easy Pizza Sauce', 'mozzarella cheese', 'shredded Parmesan cheese', 'Dried oregano']"
Flatbread Pizza,"['4 Flatbreads (or purchased flatbreads)', 'Olive oil, for brushing', '2 garlic cloves', '2 cups shredded mozzarella cheese', '1 handful cherry tomatoes (or 1 thin sliced tomato)', '1 handful thin sliced red onion (optional)', '2 handfuls baby arugula', 'Shaved Parmesan cheese, to garnish', 'Balsamic Reduction, to garnish', 'Toasted pine nuts, to garnish']",,"[' Flatbreads (or purchased flatbreads)', 'Olive oil, for brushing', ' garlic cloves', 'shredded mozzarella cheese', ' handful cherry tomatoes (or  thin sliced tomato)', ' handful thin sliced red onion (optional)', ' handfuls baby arugula', 'Shaved Parmesan cheese, to garnish', 'Balsamic Reduction, to garnish', 'Toasted pine nuts, to garnish']"
Easy Eggplant Pizza,"['2 pounds globe eggplant*', '2 tablespoons olive oil', '1 teaspoon dried oregano', '1 cup Easy Pizza Sauce', '1/2 cup mozzarella cheese', '1/2 cup Parmesan cheese', '1/4 cup chopped fresh basil, plus more for garnish', 'Kosher salt, to season']",,"['globe eggplant*', ' tablespoons olive oil', 'dried oregano', 'Easy Pizza Sauce', 'mozzarella cheese', 'Parmesan cheese', 'chopped fresh basil, plus more for garnish', 'Kosher salt, to season']"
Best Ricotta Pizza (3 Cheese!),"['1 ball Best Pizza Dough (or Thin Crust Dough)', '1/2 cup whole milk ricotta cheese', '1/8 teaspoon kosher salt, to taste', 'Fresh ground black pepper', '1/2 small garlic clove (1/4 teaspoon minced)', '1/2 cup shredded mozzarella cheese', '1/4 cup shredded Parmesan cheese', '1 handful artichoke hearts from a can', '1 handful fresh basil leaves', '1 teaspoon honey or hot honey']",,"[' ball Best Pizza Dough (or Thin Crust Dough)', 'whole milk ricotta cheese', 'kosher salt, to taste', 'Fresh ground black pepper', ' small garlic clove (minced)', 'shredded mozzarella cheese', 'shredded Parmesan cheese', ' handful artichoke hearts from a can', ' handful fresh basil leaves', 'honey or hot honey']"
Naan Pizza,"['4 naan breads (purchased or homemade Garlic Naan)', '1/2 cup Easy Pizza Sauce or purchased pizza sauce', '1 cup shredded mozzarella cheese', '1/4 cup shredded Parmesan cheese', '4 fresh basil leaves', 'Other topping ideas: Peppers & arugula', 'Pesto & basil', 'Sauteed mushrooms & herbs', 'Taco pizza', 'Spinach artichoke', 'Veggie supreme', 'Avocado & goat cheese', 'Mediterranean', 'Breakfast pizza', 'Vegan pizza']",,"[' naan breads (purchased or homemade Garlic Naan)', 'Easy Pizza Sauce or purchased pizza sauce', 'shredded mozzarella cheese', 'shredded Parmesan cheese', ' fresh basil leaves', 'Other topping ideas: Peppers & arugula', 'Pesto & basil', 'Sauteed mushrooms & herbs', 'Taco pizza', 'Spinach artichoke', 'Veggie supreme', 'Avocado & goat cheese', 'Mediterranean', 'Breakfast pizza', 'Vegan pizza']"
Everything Basil Pizza,"['1 ball Best Pizza Dough (or Food Processor Dough or Thin Crust Dough)', '1/2 cup Best Basil Pesto (or Cashew Pesto, Walnut Pesto, or Vegan Pesto)', '1/2 cup shredded mozzarella cheese', '1/8 cup Parmesan cheese', '1 pinch dried basil (optional)', 'Semolina flour or cornmeal, for dusting the pizza peel', '1 handful fresh basil leaves']",,"[' ball Best Pizza Dough (or Food Processor Dough or Thin Crust Dough)', 'Best Basil Pesto (or Cashew Pesto, Walnut Pesto, or Vegan Pesto)', 'shredded mozzarella cheese', 'Parmesan cheese', ' pinch dried basil (optional)', 'Semolina flour or cornmeal, for dusting the pizza peel', ' handful fresh basil leaves']"
Best Healthy Pizza Recipe,"['1 ball Easy Thin Crust Dough', '1/2 cup Easy Pizza Sauce', '1/2 yellow bell pepper', '1/2 red bell pepper', '1/4 medium red onion', '1 garlic clove', '1 tablespoon olive oil', '1/2 teaspoon dried oregano, plus more for garnish', '1/2 tablespoon capers, drained', '1/4 cup grated Parmesan cheese', '1/2 cup baby arugula', 'Kosher salt', 'Olive oil', 'Semolina flour or cornmeal, for dusting the pizza peel']",,"[' ball Easy Thin Crust Dough', 'Easy Pizza Sauce', ' yellow bell pepper', ' red bell pepper', ' medium red onion', ' garlic clove', 'olive oil', 'dried oregano, plus more for garnish', 'capers, drained', 'grated Parmesan cheese', 'baby arugula', 'Kosher salt', 'Olive oil', 'Semolina flour or cornmeal, for dusting the pizza peel']"
Neapolitan Pizza Recipe,"['1 ball Best Homemade Pizza Dough', '1/3 cup Easy Pizza Sauce', '3 ounces fresh mozzarella cheese (or about 3/4 cup shredded mozzarella)', 'Kosher salt', '2 basil leaves', 'Semolina flour or cornmeal, for dusting the pizza peel']",,"[' ball Best Homemade Pizza Dough', 'Easy Pizza Sauce', 'fresh mozzarella cheese (or about shredded mozzarella)', 'Kosher salt', ' basil leaves', 'Semolina flour or cornmeal, for dusting the pizza peel']"
Truffle Pizza,"['1 ball Best Pizza Dough (or Food Processor Dough or Thin Crust Dough)', '6 baby bella mushrooms', '1 garlic clove', '1 handful chives', '1 tablespoon olive oil, plus more for drizzling', '3/4 cup shredded mozzarella cheese', '1/4 cup Parmesan cheese', 'Semolina flour or cornmeal, for dusting the pizza peel', 'Truffle oil, for drizzling (hereâ€™s the all natural truffle oil we use), or step it up with canned truffles and mushrooms*', 'Chunky sea salt (optional), for garnish']",,"[' ball Best Pizza Dough (or Food Processor Dough or Thin Crust Dough)', ' baby bella mushrooms', ' garlic clove', ' handful chives', 'olive oil, plus more for drizzling', 'shredded mozzarella cheese', 'Parmesan cheese', 'Semolina flour or cornmeal, for dusting the pizza peel', 'Truffle oil, for drizzling (hereâ€™s the all natural truffle oil we use), or step it up with canned truffles and mushrooms*', 'Chunky sea salt (optional), for garnish']"
Mushroom Pizza with Fresh Herbs,"['1 ball Best Pizza Dough (or Food Processor Dough or Thin Crust Dough)', '1 1/2 cups sliced mixed mushrooms (such as baby portabella, shiitake, and oyster)', '1 tablespoon each finely chopped fresh thyme and oregano, plus more sprigs for topping', '1/4 teaspoon plus 1 pinch kosher salt, divided', '1 tablespoon olive oil, plus more for drizzling', '1 tablespoon fresh lemon juice', '1 to 2 ounces goat cheese, crumbled', '3/4 cup shredded mozzarella cheese', '1 to 2 tablespoons finely chopped chives', 'Semolina flour or cornmeal, for dusting the pizza peel']",,"[' ball Best Pizza Dough (or Food Processor Dough or Thin Crust Dough)', ' s sliced mixed mushrooms (such as baby portabella, shiitake, and oyster)', 'each finely chopped fresh thyme and oregano, plus more sprigs for topping', 'plus  pinch kosher salt, divided', 'olive oil, plus more for drizzling', 'fresh lemon juice', ' to s goat cheese, crumbled', 'shredded mozzarella cheese', ' to  tablespoons finely chopped chives', 'Semolina flour or cornmeal, for dusting the pizza peel']"
